*	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	
C7	149	326	695	672	701	786	781	737	702	603	512	438	366	275	216	165	116	78	59	42	34	31	23	21	17	15	15	15	14	17	17	17	19	18	19	20	19	20	22	20	17	16	17	15	14	14	13	12	11	10	10	9	12	8	5	5	6	4	4	3	3	3	2	2	2	2	0	2	0	0	0	-2	-2	-2	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
C8	168	329	754	728	789	837	861	822	737	626	565	469	396	312	242	177	124	86	62	48	40	31	28	21	19	14	14	14	12	13	14	11	10	12	13	13	11	11	11	12	9	9	10	9	9	9	7	9	6	5	7	6	8	7	4	3	4	1	1	2	2	2	2	0	0	0	0	0	0	0	-2	0	0	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
C9	150	343	726	702	788	900	870	832	770	681	567	485	385	327	259	188	129	92	66	47	40	28	27	23	17	17	14	12	10	10	11	8	9	9	8	8	7	8	7	7	7	6	6	5	5	4	5	4	5	4	3	4	5	4	3	3	1	3	0	0	2	2	0	0	0	0	0	-2	0	-2	0	-2	-2	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
C10	170	327	757	691	761	843	857	830	744	651	565	474	402	315	257	180	129	90	61	45	36	33	26	21	19	15	14	11	11	9	9	9	7	7	8	8	7	7	7	6	5	5	5	5	5	4	4	4	4	2	3	3	7	4	3	1	1	1	1	2	0	2	0	0	0	0	-2	0	0	-2	-2	0	-2	-2	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
C11	172	304	700	641	718	767	800	749	675	576	508	437	346	280	226	168	114	78	57	46	35	30	24	20	17	16	12	13	9	9	8	7	7	6	7	7	7	7	6	6	6	5	5	5	5	5	4	4	2	3	2	4	5	5	3	3	1	1	1	2	2	2	0	0	0	0	0	0	-2	0	-2	-2	-2	-2	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
C12	128	287	662	610	670	738	694	676	625	554	441	386	324	255	192	150	106	72	50	38	32	27	22	19	15	15	14	9	10	9	9	7	7	7	7	7	7	6	6	5	5	5	5	6	4	5	4	5	4	4	3	3	7	4	1	1	3	1	2	0	0	2	0	0	0	-2	0	0	0	0	0	-2	0	-2	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
D1	43	147	385	284	244	240	206	192	160	135	112	97	77	62	51	43	34	28	32	32	36	41	53	68	79	97	108	130	145	165	172	180	179	192	204	205	209	198	196	188	189	173	167	156	142	133	130	117	110	100	93	85	80	73	66	59	54	49	42	38	36	35	32	26	25	22	19	19	16	17	13	11	10	12	10	5	11	6	6	3	3	0	0	0	3	3	0	0	0	0	0	0	0	-3	0	0	-3	0	-4	-4	-4	
D2	44	127	394	286	246	239	223	189	175	136	107	99	77	62	51	44	37	28	26	28	29	33	41	53	59	66	78	92	97	115	119	123	120	130	138	138	143	139	130	133	125	121	114	109	102	97	89	81	75	66	63	60	59	49	43	42	36	35	30	26	25	23	22	19	16	13	11	10	10	10	9	7	7	5	5	5	3	0	3	3	0	0	0	0	0	0	0	-3	0	-3	-3	-3	-3	-3	0	0	-3	0	-4	-4	-4	
D3	43	146	418	308	221	234	225	201	158	137	116	94	81	70	50	42	32	26	23	23	25	26	27	31	37	38	47	53	58	63	70	70	72	77	84	83	82	86	81	78	76	73	68	65	60	56	53	49	46	42	37	34	36	30	26	22	22	19	16	15	16	13	12	10	11	8	8	6	6	4	4	2	5	5	3	3	0	0	0	0	0	-3	0	-3	-3	0	0	-3	0	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	-9	
D4	66	129	402	303	248	234	211	197	166	131	110	94	76	61	50	39	27	24	19	16	18	17	19	18	20	22	28	30	32	38	41	40	40	42	50	51	50	50	47	45	45	41	38	39	37	35	31	33	27	25	23	21	22	19	15	15	13	11	10	9	8	8	7	5	5	6	4	4	4	2	4	2	0	0	0	0	0	0	0	-3	0	0	-3	-3	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
